电影名称,电影链接
新世纪福音战士剧场版：Air / 真心为你,https://www.themoviedb.org/movie/18491-air
狮子王,https://www.themoviedb.org/movie/8587-the-lion-king
光荣之路,https://www.themoviedb.org/movie/975-paths-of-glory
七号房的礼物,https://www.themoviedb.org/movie/637920-7-kogustaki-mucize
城市之光,https://www.themoviedb.org/movie/901-city-lights
黑客帝国,https://www.themoviedb.org/movie/603-the-matrix
洞,https://www.themoviedb.org/movie/29259-le-trou
边境奇袭,https://www.themoviedb.org/movie/1356039-contraataque
云上情歌,https://www.themoviedb.org/movie/630566-clouds
为了萨玛,https://www.themoviedb.org/movie/576017-for-sama
海上钢琴师,https://www.themoviedb.org/movie/10376-la-leggenda-del-pianista-sull-oceano
复仇者联盟3：无限战争,https://www.themoviedb.org/movie/299536-avengers-infinity-war
复仇者联盟4：终局之战,https://www.themoviedb.org/movie/299534-avengers-endgame
老男孩,https://www.themoviedb.org/movie/670
牯岭街少年杀人事件,https://www.themoviedb.org/movie/15804
GIVEN 被赠与的未来 剧场版,https://www.themoviedb.org/movie/632632
天地玄黄,https://www.themoviedb.org/movie/14002-baraka
妥瑞氏与我,https://www.themoviedb.org/movie/1317149-i-swear
青春猪头少年不会梦到怀梦美少女,https://www.themoviedb.org/movie/572154
拯救大兵瑞恩,https://www.themoviedb.org/movie/857-saving-private-ryan
我想吃掉你的胰脏,https://www.themoviedb.org/movie/504253
角斗士,https://www.themoviedb.org/movie/98-gladiator
绿皮书,https://www.themoviedb.org/movie/490132-green-book
一年中的生活,https://www.themoviedb.org/movie/447362-life-in-a-year
超级马力欧银河大电影,https://www.themoviedb.org/movie/1226863-the-super-mario-galaxy-movie
男孩、鼹鼠、狐狸和马,https://www.themoviedb.org/movie/995133-the-boy-the-mole-the-fox-and-the-horse
克劳斯：圣诞节的秘密,https://www.themoviedb.org/movie/508965-klaus
单向乐队：这就是我们,https://www.themoviedb.org/movie/164558-one-direction-this-is-us
比莉·艾利什：模糊世界,https://www.themoviedb.org/movie/654754-billie-eilish-the-world-s-a-little-blurry
狼的孩子雨和雪,https://www.themoviedb.org/movie/110420
安逸人生,https://www.themoviedb.org/movie/24188-il-sorpasso
无耻混蛋,https://www.themoviedb.org/movie/16869-inglourious-basterds
鬼灭之刃：无限列车篇,https://www.themoviedb.org/movie/635302
五尺天涯,https://www.themoviedb.org/movie/527641-five-feet-apart
防弹少年团世界巡回演唱会：在首尔爱自己,https://www.themoviedb.org/movie/568300
穿靴子的猫2,https://www.themoviedb.org/movie/315162-puss-in-boots-the-last-wish
砂之女,https://www.themoviedb.org/movie/16672
致命魔术,https://www.themoviedb.org/movie/1124-the-prestige
控方证人,https://www.themoviedb.org/movie/37257-witness-for-the-prosecution
自己去看,https://www.themoviedb.org/movie/25237
星球大战4：新希望,https://www.themoviedb.org/movie/11-star-wars
妈咪,https://www.themoviedb.org/movie/265177-mommy
相助,https://www.themoviedb.org/movie/50014-the-help
福音战士新剧场版：终,https://www.themoviedb.org/movie/283566
闪灵,https://www.themoviedb.org/movie/694-the-shining
寻梦环游记,https://www.themoviedb.org/movie/354912-coco
禁闭岛,https://www.themoviedb.org/movie/11324-shutter-island
黑暗正义联盟：天启星战争,https://www.themoviedb.org/movie/618344-justice-league-dark-apokolips-war
河狸变身计划,https://www.themoviedb.org/movie/1327819-hoppers
被解救的姜戈,https://www.themoviedb.org/movie/68718-django-unchained
血战钢锯岭,https://www.themoviedb.org/movie/324786-hacksaw-ridge
桃色公寓,https://www.themoviedb.org/movie/284-the-apartment
BLACKPINK：照亮天空,https://www.themoviedb.org/movie/740996
小姐,https://www.themoviedb.org/movie/290098
神秘博士：博士之日,https://www.themoviedb.org/movie/313106-doctor-who-the-day-of-the-doctor
宇宙小子大电影,https://www.themoviedb.org/movie/537061-steven-universe-the-movie
狼行者,https://www.themoviedb.org/movie/441130-wolfwalkers
我的母亲有话说,https://www.themoviedb.org/movie/620683-minha-mae-e-uma-peca-3-o-filme
摇篮,https://www.themoviedb.org/movie/1186532-the-forge
发条橙,https://www.themoviedb.org/movie/185-a-clockwork-orange
泰勒·斯威夫特：“举世盛名”巡回演唱会,https://www.themoviedb.org/movie/568332-taylor-swift-reputation-stadium-tour
记忆碎片,https://www.themoviedb.org/movie/77-memento
对一个不容怀疑的公民的调查,https://www.themoviedb.org/movie/26451-indagine-su-un-cittadino-al-di-sopra-di-ogni-sospetto
黑帮悍将,https://www.themoviedb.org/movie/9702-bound-by-honor
异形,https://www.themoviedb.org/movie/348-alien
我在雨中等你,https://www.themoviedb.org/movie/522924-the-art-of-racing-in-the-rain
无知的声音,https://www.themoviedb.org/movie/20941-voces-inocentes
